ewi_id,indicator,scope,vintage_yr,value,baseline,ratio_or_drift,status
E-01,First-Payment Default,portfolio,2016,0.032,0.014,2.233,AMBER
E-01,First-Payment Default,portfolio,2017,0.047,0.014,3.279,RED
E-01,First-Payment Default,portfolio,2018,0.073,0.014,5.093,RED
E-02,Rating Drift,grade A,2016,1.75,1.27,36.9,RED
E-02,Rating Drift,grade B,2016,4.15,3.12,33.0,RED
E-02,Rating Drift,grade C,2016,7.9,5.99,31.8,RED
E-02,Rating Drift,grade D,2016,12.62,9.22,36.8,RED
E-03,Vintage Deterioration,portfolio,2016,6.31,4.72,1.338,AMBER
E-03,Vintage Deterioration,portfolio,2017,5.66,4.72,1.199,GREEN
E-03,Vintage Deterioration,portfolio,2018,,4.72,,NO SIGNAL - cohort not observed to MOB 12
