dimension,bucket,rank_by_exposure,n_loans,exposure_mm,pct_of_book,cumulative_pct,n_buckets,hhi_raw,hhi_floor,hhi_normalised
addr_state,CA,1,117046,1262.5,13.27,13.27,50,507.1,200.0,0.031
addr_state,TX,2,75618,814.5,8.56,21.84,50,507.1,200.0,0.031
addr_state,NY,3,75924,762.5,8.02,29.86,50,507.1,200.0,0.031
addr_state,FL,4,65809,672.1,7.07,36.92,50,507.1,200.0,0.031
addr_state,IL,5,39099,412.5,4.34,41.26,50,507.1,200.0,0.031
addr_state,NJ,6,34393,371.9,3.91,45.17,50,507.1,200.0,0.031
addr_state,GA,7,30567,327.6,3.45,48.62,50,507.1,200.0,0.031
addr_state,PA,8,31127,317.3,3.34,51.95,50,507.1,200.0,0.031
addr_state,OH,9,31006,307.1,3.23,55.18,50,507.1,200.0,0.031
addr_state,VA,10,24705,277.8,2.92,58.1,50,507.1,200.0,0.031
addr_state,NC,11,24784,258.6,2.72,60.82,50,507.1,200.0,0.031
addr_state,MD,12,22618,251.6,2.65,63.47,50,507.1,200.0,0.031
addr_state,MI,13,23361,230.2,2.42,65.89,50,507.1,200.0,0.031
addr_state,AZ,14,20885,216.7,2.28,68.17,50,507.1,200.0,0.031
addr_state,MA,15,20607,216.3,2.27,70.44,50,507.1,200.0,0.031
addr_state,CO,16,18342,197.1,2.07,72.51,50,507.1,200.0,0.031
addr_state,WA,17,17735,191.2,2.01,74.52,50,507.1,200.0,0.031
addr_state,CT,18,15913,165.6,1.74,76.26,50,507.1,200.0,0.031
addr_state,IN,19,15708,160.5,1.69,77.95,50,507.1,200.0,0.031
addr_state,MN,20,15431,156.8,1.65,79.6,50,507.1,200.0,0.031
addr_state,TN,21,14988,152.7,1.61,81.21,50,507.1,200.0,0.031
addr_state,MO,22,14660,148.2,1.56,82.77,50,507.1,200.0,0.031
addr_state,NV,23,12288,127.9,1.34,84.11,50,507.1,200.0,0.031
addr_state,SC,24,11932,125.1,1.32,85.43,50,507.1,200.0,0.031
addr_state,WI,25,12021,122.9,1.29,86.72,50,507.1,200.0,0.031
addr_state,AL,26,10579,109.7,1.15,87.87,50,507.1,200.0,0.031
addr_state,OR,27,10310,105.1,1.11,88.98,50,507.1,200.0,0.031
addr_state,LA,28,10190,102.9,1.08,90.06,50,507.1,200.0,0.031
addr_state,KY,29,8976,90.5,0.95,91.01,50,507.1,200.0,0.031
addr_state,OK,30,8349,88.7,0.93,91.94,50,507.1,200.0,0.031
addr_state,KS,31,7809,81.1,0.85,92.79,50,507.1,200.0,0.031
addr_state,AR,32,6984,69.3,0.73,93.52,50,507.1,200.0,0.031
addr_state,MS,33,6021,61.3,0.64,94.17,50,507.1,200.0,0.031
addr_state,UT,34,4907,55.7,0.59,94.75,50,507.1,200.0,0.031
addr_state,NM,35,4580,48.0,0.51,95.26,50,507.1,200.0,0.031
addr_state,NH,36,4652,47.6,0.5,95.76,50,507.1,200.0,0.031
addr_state,HI,37,3886,43.8,0.46,96.22,50,507.1,200.0,0.031
addr_state,NE,38,4205,42.7,0.45,96.67,50,507.1,200.0,0.031
addr_state,RI,39,4104,41.3,0.43,97.1,50,507.1,200.0,0.031
addr_state,WV,40,3455,41.0,0.43,97.53,50,507.1,200.0,0.031
addr_state,ME,41,2922,30.2,0.32,97.85,50,507.1,200.0,0.031
addr_state,DE,42,2637,28.2,0.3,98.15,50,507.1,200.0,0.031
addr_state,ID,43,2597,27.8,0.29,98.44,50,507.1,200.0,0.031
addr_state,MT,44,2454,24.1,0.25,98.69,50,507.1,200.0,0.031
addr_state,AK,45,2023,24.0,0.25,98.95,50,507.1,200.0,0.031
addr_state,ND,46,1975,21.3,0.22,99.17,50,507.1,200.0,0.031
addr_state,VT,47,2269,20.8,0.22,99.39,50,507.1,200.0,0.031
addr_state,DC,48,1866,20.2,0.21,99.6,50,507.1,200.0,0.031
addr_state,WY,49,1818,19.8,0.21,99.81,50,507.1,200.0,0.031
addr_state,SD,50,1769,18.2,0.19,100.0,50,507.1,200.0,0.031
grade,C,1,266538,2847.3,29.94,29.94,7,2363.3,1428.6,0.109
grade,B,2,268980,2676.0,28.14,58.08,7,2363.3,1428.6,0.109
grade,A,3,196647,2002.7,21.06,79.13,7,2363.3,1428.6,0.109
grade,D,4,122215,1368.7,14.39,93.53,7,2363.3,1428.6,0.109
grade,E,5,41243,455.4,4.79,98.31,7,2363.3,1428.6,0.109
grade,F,6,9451,120.2,1.26,99.58,7,2363.3,1428.6,0.109
grade,G,7,2830,40.2,0.42,100.0,7,2363.3,1428.6,0.109
home_ownership,MORTGAGE,1,442258,5173.6,54.4,54.4,5,4270.0,2000.0,0.284
home_ownership,RENT,2,357463,3278.7,34.47,88.87,5,4270.0,2000.0,0.284
home_ownership,OWN,3,107476,1051.3,11.05,99.93,5,4270.0,2000.0,0.284
home_ownership,ANY,4,706,6.8,0.07,100.0,5,4270.0,2000.0,0.284
home_ownership,NONE,5,1,0.0,0.0,100.0,5,4270.0,2000.0,0.284
purpose,debt_consolidation,1,493847,5556.2,58.42,58.42,14,4074.0,714.3,0.362
purpose,credit_card,2,220254,2307.1,24.26,82.68,14,4074.0,714.3,0.362
purpose,home_improvement,3,62413,621.4,6.53,89.21,14,4074.0,714.3,0.362
purpose,other,4,60808,451.7,4.75,93.96,14,4074.0,714.3,0.362
purpose,major_purchase,5,20782,188.7,1.98,95.95,14,4074.0,714.3,0.362
purpose,small_business,6,9069,103.9,1.09,97.04,14,4074.0,714.3,0.362
purpose,house,7,6810,78.5,0.83,97.87,14,4074.0,714.3,0.362
purpose,medical,8,11823,78.0,0.82,98.69,14,4074.0,714.3,0.362
purpose,car,9,9319,60.0,0.63,99.32,14,4074.0,714.3,0.362
purpose,moving,10,5851,35.0,0.37,99.68,14,4074.0,714.3,0.362
purpose,vacation,11,6414,26.0,0.27,99.96,14,4074.0,714.3,0.362
purpose,renewable_energy,12,508,3.9,0.04,100.0,14,4074.0,714.3,0.362
purpose,wedding,13,5,0.0,0.0,100.0,14,4074.0,714.3,0.362
purpose,educational,14,1,0.0,0.0,100.0,14,4074.0,714.3,0.362
term,60 months,1,325108,4872.6,51.23,51.23,2,5003.0,5000.0,0.001
term,36 months,2,582796,4637.8,48.77,100.0,2,5003.0,5000.0,0.001
